Depression level,Mood Level,Gender,Age Range,Category,Recommendation,Link
Moderate,Happy,Female,45-54,Expressive Arts Therapy,Watercolor painting for stress relief,https://www.youtube.com/watch?v=fLg5Mgz6wac
Minimal,Calm,Female,45-54,Expressive Arts Therapy,Abstract painting tutorials,https://www.skillshare.com/browse/abstract-painting
Minimal,Calm,Prefer not to say,25-34,Expressive Arts Therapy,Watercolor painting tutorials,https://www.mindfulartstudio.com/watercolor-painting-for-beginners/
Mild,Neutral,Male,55-65,Expressive Arts Therapy,Abstract acrylic painting tutorials,https://catcoq.com/blog/abstract-art-with-acrylics
Moderate,Calm,Male,45-54,Expressive Arts Therapy,Mandala art tutorials,https://www.art-is-fun.com/how-to-draw-a-mandala
Moderate,Confused,Prefer not to say,15-19,Expressive Arts Therapy,Zentangle patterns for beginners,https://www.kitchencounterchronicle.com/easy-zentangle-patterns-for-beginners-and-kids/
Mild,Calm,Female,55-65,Expressive Arts Therapy,The impressionists - calming music,https://www.youtube.com/watch?v=nplZDdUAFKo
Minimal,Happy,Male,55-65,Expressive Arts Therapy,Paint a Nature Scene Watercolor Tutorial for Beginners,https://www.youtube.com/watch?v=CY3r-p3nLJY
Minimal,Confused,Male,25-34,Expressive Arts Therapy,Art Therapy Exercise - Draw Your Feelings,https://www.thirstyforart.com/blog/how-to-draw-feelings
Moderate,Sad,Female,20-24,Expressive Arts Therapy,Learn to Paint with Watercolors for Beginners,https://www.youtube.com/watch?v=WmcsQNpnOEs
Mild,Anxious,Male,15-19,Expressive Arts Therapy,Mandala Rock Painting for Relaxation,https://www.youtube.com/watch?v=N5iA8xn5Q7o
Mild,Confused,Male,15-19,Expressive Arts Therapy,Relax and Enjoy the Magic of Diamond Painting,https://www.youtube.com/watch?v=E9bjM4GXFbk
Mild,Confused,Male,45-54,Expressive Arts Therapy,Sketchbook for Beginners - Start Here!,https://www.youtube.com/watch?v=R47ZnlUwD8M
Mild,Confused,Male,35-44,Expressive Arts Therapy,Paint a Landscape with Bob Ross,https://www.youtube.com/watch?v=1s58rW0_LN4
Moderately Severe,Confused,Male,25-34,Expressive Arts Therapy,Zentagle Art for Beginners,https://www.youtube.com/watch?v=NOlxG3yjZQ8&pp=ygUaWmVudGFnbGUgQXJ0IGZvciBCZWdpbm5lcnM%3D
Moderately Severe,Confused,Male,20-24,Expressive Arts Therapy,Watercolor Still Life Painting Step-By-Step,https://www.youtube.com/watch?v=wbsoPaZ1j60
Moderately Severe,Confused,Male,20-24,Expressive Arts Therapy,Acrylic Painting Techniques for Beginners,https://www.youtube.com/watch?v=nTQO9wimQyM
Moderately Severe,Confused,Male,15-19,Expressive Arts Therapy,How to Sketch for Beginners,https://www.youtube.com/watch?v=b2scvHu_tGQ
Moderately Severe,Confused,Male,15-19,Expressive Arts Therapy,Watercolor Painting Tutorial for Beginners Step-by-Step,https://www.youtube.com/watch?v=WmcsQNpnOEs
Moderately Severe,Confused,Male,15-19,Expressive Arts Therapy,Satisfying Slime ASMR,https://www.youtube.com/watch?v=yuFwErfsnTM
Moderately Severe,Confused,Male,15-19,Expressive Arts Therapy,DIY Crafts for Beginners,https://www.youtube.com/watch?v=lWI1CHKTfF0
Moderately Severe,Confused,Male,15-19,Expressive Arts Therapy,Relax and Enjoy the Magic of Diamond Painting,https://www.youtube.com/watch?v=obUK-udjGRw
Moderately Severe,Confused,Male,15-19,Expressive Arts Therapy,Start Journaling with Writing Prompts,https://positivepsychology.com/journaling-prompts/
Moderately Severe,Confused,Male,15-19,Expressive Arts Therapy,SATISFYING VIDEOS OF WORKERS THAT WILL HELP YOU RELAX,https://www.youtube.com/watch?v=GnTgLI0_N6k
Moderately Severe,Confused,Male,15-19,Expressive Arts Therapy,Paint by Sticker Masterpieces,https://www.youtube.com/watch?v=mZzkrmegUcg
Moderately Severe,Confused,Male,15-19,Expressive Arts Therapy,Alcohol Ink Art Tutorial for Beginners,https://www.youtube.com/watch?v=YQFbZiLr6qo
Moderately Severe,Confused,Male,15-19,Expressive Arts Therapy,Tibetan Healing Flute,https://www.youtube.com/watch?v=npy3ql94TpI
Moderately Severe,Confused,Male,15-19,Expressive Arts Therapy,ASMR RAINBOW baking Soda Crushing sounds Very Satisfying,https://www.youtube.com/watch?v=KCnYG9tn8po
Mild,Anxious,Female,55-65,Expressive Arts Therapy,"Beautiful Relaxing Music, Peaceful Soothing Instrumental Music,",https://www.youtube.com/watch?v=UflAWTG0KO0
Moderately Severe,Confused,Male,15-19,Expressive Arts Therapy,Acrylic Pour Painting Step-by-Step,https://www.youtube.com/watch?v=UWpTZGpQt6s
Moderately Severe,Confused,Male,15-19,Expressive Arts Therapy,Beginner Leather Crafts Tutorial,https://www.youtube.com/watch?v=_0R_0n41y90
Moderately Severe,Confused,Male,15-19,Expressive Arts Therapy,TOP 50 BEST CAR TIRE CRUSHING MOMENTS!,https://www.youtube.com/watch?v=rsl4e2y5w5Q
Minimal,Happy,Female,20-24,Expressive Arts Therapy,Pharrell Williams - Happy,https://www.youtube.com/watch?v=ZbZSe6N_BXs
Minimal,Happy,Female,20-24,Expressive Arts Therapy,"How to maintain happiness, health, and ongoing development of your mind.",https://www.youtube.com/watch?v=GGsdaK2u1ZI
Moderately Severe,Confused,Male,15-19,Expressive Arts Therapy,I Want It That Way | Brooklyn Nine-Nine,https://www.youtube.com/watch?v=HlBYdiXdUa8
Moderately Severe,Confused,Male,15-19,Expressive Arts Therapy,Lip Sync Battle,https://www.youtube.com/watch?v=P9PLlZwhbtc
Moderately Severe,Confused,Male,15-19,Expressive Arts Therapy,Lip Sync Battle,https://www.youtube.com/watch?v=JAw9dDL9fjk
Minimal,Happy,Female,20-24,Expressive Arts Therapy,Funniest Animals,https://www.youtube.com/watch?v=on4cjx_RngU
Moderately Severe,Confused,Male,15-19,Expressive Arts Therapy,Origami Ninja Star Tutorial - Shuriken - Paper Kawaii,https://www.youtube.com/watch?v=hxwxBqjBn0Q
Moderately Severe,Confused,Male,15-19,Expressive Arts Therapy,Diamond Paintings,https://www.youtube.com/watch?v=C_vhhRIIxEM
Minimal,Neutral,Prefer not to say,25-34,Expressive Arts Therapy,Classical piano music,https://www.youtube.com/watch?v=I0kVNMHo6fQ
Moderate,Calm,Male,20-24,Expressive Arts Therapy,Watercolor painting tutorial,https://www.youtube.com/shorts/z9KvHODZgQE
Moderately Severe,Sad,Female,35-44,Expressive Arts Therapy,Water painting for beginners,https://www.youtube.com/watch?v=lCkzDrRP1JM
Minimal,Sad,Female,55-65,Expressive Arts Therapy,Qigong for beginners,https://youtu.be/IyINAjEoTIs
Mild,Happy,Male,20-24,Expressive Arts Therapy,Introduction to acrylic painting,https://www.skillshare.com/classes/Acrylic-Painting-for-absolute-Beginners/1881487955
Minimal,Confused,Male,45-54,Expressive Arts Therapy,Ukulele lessons for beginners,https://ukutuner.com/lessons
Minimal,Neutral,Female,35-44,Expressive Arts Therapy,Funny cat videos compilation,https://www.youtube.com/watch?v=JxS5E-kZc2s
Minimal,Neutral,Prefer not to say,15-19,Expressive Arts Therapy,Soap cutting ASMR videos,https://www.youtube.com/watch?v=ymOiEnsSl5A
Mild,Anxious,Prefer not to say,15-19,Expressive Arts Therapy,Beginner crocheting tutorial,https://youtu.be/aAxGTnVNJiE
Moderately Severe,Calm,Male,55-65,Expressive Arts Therapy,Watercolor landscape painting tutorial,https://www.youtube.com/watch?v=CY3r-p3nLJY
Minimal,Sad,Prefer not to say,45-54,Expressive Arts Therapy,Adult coloring books and pencils,https://www.amazon.com/Seasons-Coloring-Colored-Sharpener-Included/dp/1988137497
Moderately Severe,Calm,Male,35-44,Expressive Arts Therapy,How to make polymer clay earrings,https://www.youtube.com/watch?v=uneX51p_Zv4
Moderate,Sad,Female,20-24,Expressive Arts Therapy,Easy macrame plant holder DIY,https://jennylemons.com/blogs/news/bathroom-makeover-diy-macrame-plant-hanger-tutorial
Severe,Happy,Prefer not to say,45-54,Expressive Arts Therapy,Rose bouquet watercolor tutorial,https://www.youtube.com/watch?v=IjTNPXrEgw8
Mild,Neutral,Male,35-44,Expressive Arts Therapy,Beginner guitar lessons online,https://jamplay.com/get-free-access?utm_term=janplay&utm_campaign=JamPlay+-+Brand+-+Multiple&utm_source=adwords&utm_medium=ppc&hsa_acc=7603602439&hsa_cam=18333467&hsa_grp=130264318021&hsa_ad=666236688605&hsa_src=g&hsa_tgt=kwd-460712801428&hsa_kw=janplay&hsa_mt=b&hsa_net=adwords&hsa_ver=3&gad_source=1&gclid=CjwKCAiA3JCvBhA8EiwA4kujZqnCa2MHvmFA66plvRayGuEe13Nx9u7Q95AjAktkhRyWbQBn_JeNTRoChKUQAvD_BwE
Minimal,Confused,Female,20-24,Expressive Arts Therapy,Bath bomb making for beginners,https://www.thesprucecrafts.com/easy-diy-bath-bombs-5170370
Moderately Severe,Happy,Prefer not to say,45-54,Expressive Arts Therapy,Paper flower bouquet making tutorial,https://www.hgtv.com/design/make-and-celebrate/handmade/how-to-make-paper-flowers-for-a-wedding-bouquet
Moderate,Neutral,Male,35-44,Expressive Arts Therapy,Beginner whittling projects ideas,https://ruffledblog.net/whittling-projects/
Severe,Confused,Female,20-24,Expressive Arts Therapy,Embroidery for beginners tutorial,https://www.thesprucecrafts.com/beginners-embroidery-stitch-tutorials-4083705
Mild,Happy,Prefer not to say,45-54,Expressive Arts Therapy,Intro to painting with acrylics on canvas,https://artsuppliesaustralia.com.au/blogs/posts/the-basics-of-acrylic-painting-on-canvas
Minimal,Neutral,Male,35-44,Expressive Arts Therapy,Learn pottery wheel for beginners,https://www.youtube.com/watch?v=Tllu3Qae9g0
Moderately Severe,Confused,Female,20-24,Expressive Arts Therapy,Intro to Watercolor Painting for Beginners,"https://www.watercoloraffair.com/how-to-start-watercolor-painting-first-steps-for-beginners/#:~:text=Begin%20by%20getting%20your%20brush,some%20paint%20onto%20the%20palette."
Mild,Anxious,Prefer not to say,25-34,Expressive Arts Therapy,Drawing a Picture,https://wastedtalentinc.com/depression-drawing-ideas/
Mild,Neutral,Male,20-24,Expressive Arts Therapy,Listening to music : Imagine Dragons ( Thunder ),https://youtu.be/fKopy74weus?si=gVZM-1-Mjmzv2XT3
Minimal,Confused,Male,25-34,Expressive Arts Therapy,Listening to music - The Nights by Avicii,https://youtu.be/UtF6Jej8yb4?si=tox5GG_Vd3VG0PdE
Minimal,Anxious,Male,25-34,Expressive Arts Therapy,Listening to Music - Till I Collapse by Eminem,https://youtu.be/ytQ5CYE1VZw?si=_YMm2214tyw51Kyx
Mild,Sad,Female,25-34,Expressive Arts Therapy,I Tried Acrylic Pour Art For The First Time,https://www.youtube.com/watch?v=58XEfDtU0Z4
Minimal,Calm,Prefer not to say,45-54,Expressive Arts Therapy,Satisfying Calligraphy That Will Relax You,https://www.youtube.com/watch?v=c9ngFduPffI
Mild,Calm,Prefer not to say,35-44,Expressive Arts Therapy,Cordelia - Little Life (Live at Home),https://www.youtube.com/watch?v=GvwaR63h4Kc
Mild,Sad,Female,25-34,Expressive Arts Therapy,Happy songs to make you smile!,https://www.youtube.com/watch?v=ru0K8uYEZWw&list=PLW9z2i0xwq0F3-8LieqflLLWLWZQgvhEX
Minimal,Sad,Male,15-19,Expressive Arts Therapy,Watch a comedy,https://www.youtube.com/watch?v=9-GRzu6zbS0
Minimal,Anxious,Male,15-19,Expressive Arts Therapy,Happier by Marshmello ft. Bastille,https://www.youtube.com/watch?v=m7Bc3pLyij0
Minimal,Scared,Male,20-24,Expressive Arts Therapy,Eminem - Not Afraid,https://www.youtube.com/watch?v=j5-yKhDd64s
Mild,Neutral,Female,35-44,Expressive Arts Therapy,Very Satisfying and Relaxing Compilation 290 Kinetic Sand ASMR,https://www.youtube.com/watch?v=1Bm0RXvRmGs
Mild,Anxious,Male,35-44,Mindfulness and Relaxation Techniques,Living for TODAY - A Guided Mindfulness Meditation Session,https://www.youtube.com/watch?v=6uDnFtMnOpg
Mild,Confused,Female,35-44,Mindfulness and Relaxation Techniques,deep breathing exercises,https://youtu.be/ybl3Cou9pTc?si=JueNIfJQhDPqdNml
Moderate,Calm,Prefer not to say,25-34,Mindfulness and Relaxation Techniques,How to stay calm when you know you'll be stressed by Daniel Levitin,https://youtu.be/8jPQjjsBbIc?si=er4JIPtOHUd2lZdd
Minimal,Anxious,Female,25-34,Mindfulness and Relaxation Techniques,How to remain calm under pressure according to Buddhism,https://youtu.be/qIDX-OkQvIM?si=w_IorHrknzueP877
Moderate,Anxious,Female,35-44,Mindfulness and Relaxation Techniques,Meditation for Anxiety - Yoga with Adriene,https://youtu.be/4pLUleLdwY4?si=nJitL1pBs60ujJhF
Mild,Confused,Prefer not to say,45-54,Mindfulness and Relaxation Techniques,5 ways to Deal with Depression by Dr. Hansaji Yogendra,https://youtu.be/Bk0lzv8hEU8?si=V6N1MMmjYfupWH2I
