,Depression level,Mood Level,Gender,Age Range,Category,Recommendation,Link
39,1.0,3,1,5.0,0,Soap Crushing ASMR,https://www.youtube.com/watch?v=FZXyIi-4Wx0
40,0.0,1,1,2.0,0,Lego Building Videos,https://www.youtube.com/watch?v=9BKVNkLAcmw
41,2.0,1,1,4.0,0,ASMR Calligraphy Pen Lettering,https://www.youtube.com/watch?v=Ukt0dGr11NE
42,1.0,5,1,5.0,0,Satisfying Slime Videos,https://www.youtube.com/watch?v=lcPTDc9vHkE
43,0.0,4,1,2.0,0,ASMR Soap Carving,https://www.youtube.com/watch?v=orD6yIilR0A
44,4.0,2,1,5.0,0,Pottery Wheel Throwing,https://www.youtube.com/watch?v=PUAwDPUNyrs
45,2.0,0,1,2.0,0,Painting for Relaxation,https://www.youtube.com/watch?v=RR3hcNlka-Q
46,1.0,3,1,5.0,0,Soap Cutting ASMR,https://www.youtube.com/watch?v=9eqvo0uqpTs
47,0.0,1,1,2.0,0,Lego Building Videos,https://www.youtube.com/watch?v=ji7JLWwmZ1g
48,1.0,5,1,5.0,0,Satisfying Slime Videos,https://www.youtube.com/watch?v=YAZOCtLMNmI
49,0.0,6,2,4.0,0,Lego Build Videos,https://www.youtube.com/watch?v=z-5Khse_IGo
50,4.0,4,2,5.0,0,Painting for Relaxation,https://www.youtube.com/watch?v=djeZeFqGpfU
51,2.0,2,2,0.0,0,Pottery Wheel Videos,https://www.youtube.com/watch?v=Tllu3Qae9g0
52,1.0,0,2,2.0,0,Lego Building for Relaxation,https://www.youtube.com/watch?v=9BKVNkLAcmw
53,0.0,3,2,3.0,0,ASMR Painting Sounds,https://www.youtube.com/watch?v=0GKTUGPP7mM
54,3.0,1,2,4.0,0,Lego Technic Build,https://www.youtube.com/watch?v=ZdhM0SjlS9o
55,2.0,5,2,5.0,0,Resin Art Videos,https://www.youtube.com/watch?v=IEUBq_AikAo
56,1.0,6,2,0.0,0,Cake Decorating Tutorials,https://www.youtube.com/watch?v=0Vr7nKnyRGI
57,2.0,2,2,2.0,0,Art Therapy Exercises,https://positivepsychology.com/art-therapy/
58,1.0,4,1,2.0,0,Start a gratitude journal,https://www.youtube.com/watch?v=pd_iXC0Jko4
59,1.0,4,2,3.0,0,Process (Intuitive) Art for Self Care,https://www.youtube.com/watch?v=_cjAh434wIA
60,0.0,6,0,4.0,0,Make a vision board,https://www.youtube.com/watch?v=68LbxdIlYKs
61,3.0,1,1,5.0,0,Adult coloring books,https://www.crayola.com/free-coloring-pages/adult-coloring-pages/
62,0.0,2,1,2.0,0,Tibetan Flute Healing Stops Overthinking,https://www.youtube.com/live/Wi_dQEtX4AQ?si=Movm1k2ssbpACoMu
63,1.0,2,0,0.0,0,Firework by Katy Perry,https://www.youtube.com/watch?v=QGJuMBdaqIw
64,0.0,0,0,1.0,0,Listen to songs in Youtube,https://youtu.be/lbCRtrrMvSw?si=abjFA2HUXWBR52f4
65,2.0,0,1,2.0,0,Listening to music : Imagine Dragons ( Thunder ),https://youtu.be/fKopy74weus?si=6ZbiZX9inhSiKSyM
66,0.0,4,2,1.0,0,do some drawings,https://www.kaviartstudio.in/online-sketching-drawing-classes-adults-kids
67,0.0,5,1,1.0,0,Go for a standup comedy or watch,https://youtu.be/tbRvPBB7KUI?si=8kdIYBMqGIfCsSjA
68,0.0,3,1,1.0,0,Try Not to Say WOW | Satisfying Videos That Relax Your Mind,https://www.youtube.com/watch?v=tgmhfoHQbz8
69,0.0,4,2,4.0,0,The Beatles - Here Comes The Sun,https://youtu.be/KQetemT1sWc?feature=shared
70,0.0,5,0,4.0,0,Listening to Music - Mrs.Robinson by Simon & Garfunke,https://youtu.be/5JVPdb6Urhw?feature=shared
71,1.0,1,0,0.0,0,Bullet Journal Self Care Spread Ideas,https://www.youtube.com/watch?v=fz3fkYBiz4Q
72,0.0,2,0,1.0,0,Satisfying Slime ASMR,https://www.youtube.com/watch?v=lcPTDc9vHkE
73,2.0,4,1,0.0,0,100 Satisfying Slime Mixing Videos,https://www.youtube.com/watch?v=nlyLvIMrEvY
74,1.0,4,1,1.0,0,Funny Stand-up Comedy Clips,https://www.youtube.com/watch?v=V-9pGpCgoGQ
75,3.0,5,0,0.0,0,Uplifting Songs Playlist,https://www.youtube.com/playlist?list=PLTuNXkroggHVvcJ2Hk5B2GtRJ255P9GYO
76,0.0,4,0,2.0,0,Soap Cutting ASMR,https://www.youtube.com/watch?v=ymOiEnsSl5A
77,0.0,1,0,0.0,0,Cute Animal Videos to Brighten Your Day,https://www.youtube.com/channel/UCvM5YYWwfLwpcQgbRr68JLQ
78,1.0,4,0,0.0,0,Mandala Art Tutorial for Beginners,https://www.youtube.com/watch?v=OiSzGBguPm0
79,0.0,4,1,4.0,0,Easy Origami Tutorials,https://origami.guide/instructions/easy-origami/
80,0.0,1,0,2.0,0,Oil Painting for Beginners,https://www.youtube.com/watch?v=w3hbZfX0Abg
81,1.0,3,2,4.0,0,Diamond Painting ASMR,https://www.youtube.com/watch?v=WWtjIZuD50k
82,2.0,5,1,5.0,0,SO RELAXING AND SATISFYING WATERCOLOR PAINTING,https://www.youtube.com/watch?v=QL3_CCjWZn0
83,1.0,1,2,3.0,0,Oil Pastel Drawing Ideas,https://www.youtube.com/watch?v=58zOxWFVvWE
84,0.0,4,0,2.0,0,Abstract Acrylic Painting Tutorial,https://www.youtube.com/watch?v=XPxzUkfnUo0&pp=ygUtYWJzdHJhY3QgYWNyeWxpYyBwYWludGluZyB0dXRvcmlhbCBzYXRpc2Z5aW5n
85,2.0,4,1,4.0,0,MOST SATISFYING CAR TIRE CRUSHING VIDEO,https://www.youtube.com/watch?v=KE77000kxrU
86,1.0,1,2,3.0,0,Mandala Rock Painting Tutorial,https://www.youtube.com/watch?v=BUQwlRmyUZQ
87,1.0,3,2,4.0,0,Upbeat Songs Playlist,https://www.youtube.com/watch?v=Gs069dndIYk&list=RDQMYhFCcJndS80&start_radio=1
88,2.0,1,1,4.0,0,How to Knit for Beginners,https://www.youtube.com/watch?v=11iw-yBGm-k
89,0.0,1,0,0.0,0,Easy Paper Flower Making,https://www.youtube.com/watch?v=d9mTJ7jCJk4
90,1.0,0,0,2.0,0,Bullet journaling for mental wellness,https://www.youtube.com/watch?v=fkHNgGaYR0I
91,1.0,4,0,5.0,0,Free online art classes for beginners,https://alison.com/course/how-to-draw-101?utm_source=google&utm_medium=cpc&utm_campaign=PPC_Tier-4_First-Click_Alison-Courses&utm_adgroup=Course-4120_How-to-Draw-101&gclid=CjwKCAiA3JCvBhA8EiwA4kujZnIu5GKu8k3nvU4Hz9VqsYJpCOxzZdXVWGxnZJAD6HSBI81ML5D6TRoC7fAQAvD_BwE&gad_source=1
92,2.0,5,0,0.0,0,Adult coloring books for relaxation,https://www.amazon.com/Adult-Coloring-Book-Relieving-Patterns/dp/1941325122
93,0.0,4,0,1.0,0,Free photography course for beginners,https://alison.com/course/diploma-in-digital-photography?utm_source=google&utm_medium=cpc&utm_campaign=PPC_Tier-4_First-Click_Alison-Courses&utm_adgroup=Course-1326_Diploma-in-Digital-Photography&gclid=CjwKCAiA3JCvBhA8EiwA4kujZgqQJuzWNx5SfP3gX9G2duZL4Qlt3edjdRW6R319AjgNNw6jiDqXaxoCJAoQAvD_BwE&gad_source=1#google_vignette
94,4.0,4,1,5.0,0,Free music composition course,https://www.coursera.org/learn/music-composition
95,2.0,3,0,4.0,0,Watercolor painting for stress relief,https://www.youtube.com/watch?v=fLg5Mgz6wac
96,0.0,1,0,4.0,0,Abstract painting tutorials,https://www.skillshare.com/browse/abstract-painting
97,0.0,1,2,2.0,0,Watercolor painting tutorials,https://www.mindfulartstudio.com/watercolor-painting-for-beginners/
98,1.0,4,1,5.0,0,Abstract acrylic painting tutorials,https://catcoq.com/blog/abstract-art-with-acrylics
99,2.0,1,1,4.0,0,Mandala art tutorials,https://www.art-is-fun.com/how-to-draw-a-mandala
100,2.0,2,2,0.0,0,Zentangle patterns for beginners,https://www.kitchencounterchronicle.com/easy-zentangle-patterns-for-beginners-and-kids/
101,1.0,1,0,5.0,0,The impressionists - calming music,https://www.youtube.com/watch?v=nplZDdUAFKo
102,0.0,3,1,5.0,0,Paint a Nature Scene Watercolor Tutorial for Beginners,https://www.youtube.com/watch?v=CY3r-p3nLJY
103,0.0,2,1,2.0,0,Art Therapy Exercise - Draw Your Feelings,https://www.thirstyforart.com/blog/how-to-draw-feelings
104,2.0,5,0,1.0,0,Learn to Paint with Watercolors for Beginners,https://www.youtube.com/watch?v=WmcsQNpnOEs
105,1.0,0,1,0.0,0,Mandala Rock Painting for Relaxation,https://www.youtube.com/watch?v=N5iA8xn5Q7o
106,1.0,2,1,0.0,0,Relax and Enjoy the Magic of Diamond Painting,https://www.youtube.com/watch?v=E9bjM4GXFbk
107,1.0,2,1,4.0,0,Sketchbook for Beginners - Start Here!,https://www.youtube.com/watch?v=R47ZnlUwD8M
108,1.0,2,1,3.0,0,Paint a Landscape with Bob Ross,https://www.youtube.com/watch?v=1s58rW0_LN4
109,3.0,2,1,2.0,0,Zentagle Art for Beginners,https://www.youtube.com/watch?v=NOlxG3yjZQ8&pp=ygUaWmVudGFnbGUgQXJ0IGZvciBCZWdpbm5lcnM%3D
110,3.0,2,1,1.0,0,Watercolor Still Life Painting Step-By-Step,https://www.youtube.com/watch?v=wbsoPaZ1j60
111,3.0,2,1,1.0,0,Acrylic Painting Techniques for Beginners,https://www.youtube.com/watch?v=nTQO9wimQyM
112,3.0,2,1,0.0,0,How to Sketch for Beginners,https://www.youtube.com/watch?v=b2scvHu_tGQ
113,3.0,2,1,0.0,0,Watercolor Painting Tutorial for Beginners Step-by-Step,https://www.youtube.com/watch?v=WmcsQNpnOEs
114,3.0,2,1,0.0,0,Satisfying Slime ASMR,https://www.youtube.com/watch?v=yuFwErfsnTM
115,3.0,2,1,0.0,0,DIY Crafts for Beginners,https://www.youtube.com/watch?v=lWI1CHKTfF0
116,3.0,2,1,0.0,0,Relax and Enjoy the Magic of Diamond Painting,https://www.youtube.com/watch?v=obUK-udjGRw
117,3.0,2,1,0.0,0,Start Journaling with Writing Prompts,https://positivepsychology.com/journaling-prompts/
118,3.0,2,1,0.0,0,SATISFYING VIDEOS OF WORKERS THAT WILL HELP YOU RELAX,https://www.youtube.com/watch?v=GnTgLI0_N6k
119,3.0,2,1,0.0,0,Paint by Sticker Masterpieces,https://www.youtube.com/watch?v=mZzkrmegUcg
120,3.0,2,1,0.0,0,Alcohol Ink Art Tutorial for Beginners,https://www.youtube.com/watch?v=YQFbZiLr6qo
121,3.0,2,1,0.0,0,Tibetan Healing Flute,https://www.youtube.com/watch?v=npy3ql94TpI
122,3.0,2,1,0.0,0,ASMR RAINBOW baking Soda Crushing sounds Very Satisfying,https://www.youtube.com/watch?v=KCnYG9tn8po
123,1.0,0,0,5.0,0,"Beautiful Relaxing Music, Peaceful Soothing Instrumental Music,",https://www.youtube.com/watch?v=UflAWTG0KO0
124,3.0,2,1,0.0,0,Acrylic Pour Painting Step-by-Step,https://www.youtube.com/watch?v=UWpTZGpQt6s
125,3.0,2,1,0.0,0,Beginner Leather Crafts Tutorial,https://www.youtube.com/watch?v=_0R_0n41y90
126,3.0,2,1,0.0,0,TOP 50 BEST CAR TIRE CRUSHING MOMENTS!,https://www.youtube.com/watch?v=rsl4e2y5w5Q
127,0.0,3,0,1.0,0,Pharrell Williams - Happy,https://www.youtube.com/watch?v=ZbZSe6N_BXs
128,0.0,3,0,1.0,0,"How to maintain happiness, health, and ongoing development of your mind.",https://www.youtube.com/watch?v=GGsdaK2u1ZI
129,3.0,2,1,0.0,0,I Want It That Way | Brooklyn Nine-Nine,https://www.youtube.com/watch?v=HlBYdiXdUa8
130,3.0,2,1,0.0,0,Lip Sync Battle,https://www.youtube.com/watch?v=P9PLlZwhbtc
131,3.0,2,1,0.0,0,Lip Sync Battle,https://www.youtube.com/watch?v=JAw9dDL9fjk
132,0.0,3,0,1.0,0,Funniest Animals,https://www.youtube.com/watch?v=on4cjx_RngU
133,3.0,2,1,0.0,0,Origami Ninja Star Tutorial - Shuriken - Paper Kawaii,https://www.youtube.com/watch?v=hxwxBqjBn0Q
134,3.0,2,1,0.0,0,Diamond Paintings,https://www.youtube.com/watch?v=C_vhhRIIxEM
135,0.0,4,2,2.0,0,Classical piano music,https://www.youtube.com/watch?v=I0kVNMHo6fQ
136,2.0,1,1,1.0,0,Watercolor painting tutorial,https://www.youtube.com/shorts/z9KvHODZgQE
137,3.0,5,0,3.0,0,Water painting for beginners,https://www.youtube.com/watch?v=lCkzDrRP1JM
138,0.0,5,0,5.0,0,Qigong for beginners,https://youtu.be/IyINAjEoTIs
139,1.0,3,1,1.0,0,Introduction to acrylic painting,https://www.skillshare.com/classes/Acrylic-Painting-for-absolute-Beginners/1881487955
140,0.0,2,1,4.0,0,Ukulele lessons for beginners,https://ukutuner.com/lessons
141,0.0,4,0,3.0,0,Funny cat videos compilation,https://www.youtube.com/watch?v=JxS5E-kZc2s
142,0.0,4,2,0.0,0,Soap cutting ASMR videos,https://www.youtube.com/watch?v=ymOiEnsSl5A
143,1.0,0,2,0.0,0,Beginner crocheting tutorial,https://youtu.be/aAxGTnVNJiE
144,3.0,1,1,5.0,0,Watercolor landscape painting tutorial,https://www.youtube.com/watch?v=CY3r-p3nLJY
145,0.0,5,2,4.0,0,Adult coloring books and pencils,https://www.amazon.com/Seasons-Coloring-Colored-Sharpener-Included/dp/1988137497
146,3.0,1,1,3.0,0,How to make polymer clay earrings,https://www.youtube.com/watch?v=uneX51p_Zv4
147,2.0,5,0,1.0,0,Easy macrame plant holder DIY,https://jennylemons.com/blogs/news/bathroom-makeover-diy-macrame-plant-hanger-tutorial
148,4.0,3,2,4.0,0,Rose bouquet watercolor tutorial,https://www.youtube.com/watch?v=IjTNPXrEgw8
149,1.0,4,1,3.0,0,Beginner guitar lessons online,https://jamplay.com/get-free-access?utm_term=janplay&utm_campaign=JamPlay+-+Brand+-+Multiple&utm_source=adwords&utm_medium=ppc&hsa_acc=7603602439&hsa_cam=18333467&hsa_grp=130264318021&hsa_ad=666236688605&hsa_src=g&hsa_tgt=kwd-460712801428&hsa_kw=janplay&hsa_mt=b&hsa_net=adwords&hsa_ver=3&gad_source=1&gclid=CjwKCAiA3JCvBhA8EiwA4kujZqnCa2MHvmFA66plvRayGuEe13Nx9u7Q95AjAktkhRyWbQBn_JeNTRoChKUQAvD_BwE
150,0.0,2,0,1.0,0,Bath bomb making for beginners,https://www.thesprucecrafts.com/easy-diy-bath-bombs-5170370
151,3.0,3,2,4.0,0,Paper flower bouquet making tutorial,https://www.hgtv.com/design/make-and-celebrate/handmade/how-to-make-paper-flowers-for-a-wedding-bouquet
152,2.0,4,1,3.0,0,Beginner whittling projects ideas,https://ruffledblog.net/whittling-projects/
153,4.0,2,0,1.0,0,Embroidery for beginners tutorial,https://www.thesprucecrafts.com/beginners-embroidery-stitch-tutorials-4083705
154,1.0,3,2,4.0,0,Intro to painting with acrylics on canvas,https://artsuppliesaustralia.com.au/blogs/posts/the-basics-of-acrylic-painting-on-canvas
155,0.0,4,1,3.0,0,Learn pottery wheel for beginners,https://www.youtube.com/watch?v=Tllu3Qae9g0
156,3.0,2,0,1.0,0,Intro to Watercolor Painting for Beginners,"https://www.watercoloraffair.com/how-to-start-watercolor-painting-first-steps-for-beginners/#:~:text=Begin%20by%20getting%20your%20brush,some%20paint%20onto%20the%20palette."
157,1.0,0,2,2.0,0,Drawing a Picture,https://wastedtalentinc.com/depression-drawing-ideas/
158,1.0,4,1,1.0,0,Listening to music : Imagine Dragons ( Thunder ),https://youtu.be/fKopy74weus?si=gVZM-1-Mjmzv2XT3
159,0.0,2,1,2.0,0,Listening to music - The Nights by Avicii,https://youtu.be/UtF6Jej8yb4?si=tox5GG_Vd3VG0PdE
160,0.0,0,1,2.0,0,Listening to Music - Till I Collapse by Eminem,https://youtu.be/ytQ5CYE1VZw?si=_YMm2214tyw51Kyx
161,1.0,5,0,2.0,0,I Tried Acrylic Pour Art For The First Time,https://www.youtube.com/watch?v=58XEfDtU0Z4
162,0.0,1,2,4.0,0,Satisfying Calligraphy That Will Relax You,https://www.youtube.com/watch?v=c9ngFduPffI
163,1.0,1,2,3.0,0,Cordelia - Little Life (Live at Home),https://www.youtube.com/watch?v=GvwaR63h4Kc
164,1.0,5,0,2.0,0,Happy songs to make you smile!,https://www.youtube.com/watch?v=ru0K8uYEZWw&list=PLW9z2i0xwq0F3-8LieqflLLWLWZQgvhEX
165,0.0,5,1,0.0,0,Watch a comedy,https://www.youtube.com/watch?v=9-GRzu6zbS0
166,0.0,0,1,0.0,0,Happier by Marshmello ft. Bastille,https://www.youtube.com/watch?v=m7Bc3pLyij0
167,0.0,6,1,1.0,0,Eminem - Not Afraid,https://www.youtube.com/watch?v=j5-yKhDd64s
168,1.0,4,0,3.0,0,Very Satisfying and Relaxing Compilation 290 Kinetic Sand ASMR,https://www.youtube.com/watch?v=1Bm0RXvRmGs
169,1.0,0,1,3.0,1,Living for TODAY - A Guided Mindfulness Meditation Session,https://www.youtube.com/watch?v=6uDnFtMnOpg
170,1.0,2,0,3.0,1,deep breathing exercises,https://youtu.be/ybl3Cou9pTc?si=JueNIfJQhDPqdNml
171,2.0,1,2,2.0,1,How to stay calm when you know you'll be stressed by Daniel Levitin,https://youtu.be/8jPQjjsBbIc?si=er4JIPtOHUd2lZdd
172,0.0,0,0,2.0,1,How to remain calm under pressure according to Buddhism,https://youtu.be/qIDX-OkQvIM?si=w_IorHrknzueP877
173,2.0,0,0,3.0,1,Meditation for Anxiety - Yoga with Adriene,https://youtu.be/4pLUleLdwY4?si=nJitL1pBs60ujJhF
174,1.0,2,2,4.0,1,5 ways to Deal with Depression by Dr. Hansaji Yogendra,https://youtu.be/Bk0lzv8hEU8?si=V6N1MMmjYfupWH2I
175,3.0,0,1,4.0,1,Deal with Depression by Dr. Hansaji Yogendra,https://youtu.be/Bk0lzv8hEU8?si=V6N1MMmjYfupWH2I
176,2.0,1,2,5.0,1,Asanas to Overcome Depression by Dr. Hansaji Yogendra,https://youtu.be/7DoQMnmo0v8?feature=shared
177,2.0,1,1,2.0,1,How to remain calm under pressure according Buddhism,https://youtu.be/qIDX-OkQvIM?si=FZCZVaXgHm_7lvAU
178,0.0,5,0,2.0,1,"7 Signs It's not Depression, But Sadness",https://youtu.be/Jjyx6cMdu7M?si=7V4hToptjwTei1B8
179,2.0,0,2,2.0,1,How Meditation Helped Me with Depression â€“ Motivation,https://insighttimer.com/spikegillespie/guided-meditations/intro-how-meditation-helped-me-with-depression
180,2.0,6,1,4.0,1,How Meditation Helped Me with Depression,https://insighttimer.com/spikegillespie/guided-meditations/intro-how-meditation-helped-me-with-depression
181,2.0,2,0,4.0,1,Tibetan Flute Healing Stops Overthinking,https://www.youtube.com/live/Wi_dQEtX4AQ?si=Movm1k2ssbpACoMu
182,3.0,4,0,0.0,1,Daily Calm | 10 Minute Mindfulness Meditation | Be Present,https://www.youtube.com/watch?v=ZToicYcHIOU
183,1.0,3,0,0.0,1,ASMR Relaxing & Satisfying Video for Deep Sleep & Mental Massage,https://www.youtube.com/watch?v=TTXcHEMfLb4
184,0.0,2,1,1.0,1,What To Do When You Are Confused | Sadhguru,https://www.youtube.com/watch?v=uHM1redKS2Q
185,0.0,0,2,0.0,1,How To Be Calm and Peaceful Within | Buddhism In English,https://www.youtube.com/watch?v=sm0i1Y4g_zA
186,0.0,0,1,0.0,1,How to remain calm under pressure... Buddhism In English,https://www.youtube.com/watch?v=qIDX-OkQvIM
187,3.0,5,1,1.0,1,Inner Peace & Happiness: Guided Meditation,https://www.youtube.com/watch?v=94IFuiy8TPM
188,2.0,6,2,5.0,1,Guided Meditation When Feeling Scared,https://www.youtube.com/watch?v=CY8zCVMkpbQ
189,0.0,6,0,2.0,1,Releasing Fear | Free Guided Meditation from Stress | Dr. Judith Orloff | Monday Meditations,https://www.youtube.com/watch?v=jTaR0h5XQ0g
190,1.0,2,2,3.0,1,10-Minute Meditation For Beginners,https://www.youtube.com/watch?v=U9YKY7fdwyg
191,3.0,6,2,0.0,1,Guided meditation for anxiety,https://www.youtube.com/watch?v=4pLUleLdwY4
192,1.0,3,0,2.0,1,Daily calm meditation,https://www.youtube.com/watch?v=ZToicYcHIOU
193,0.0,3,2,1.0,1,Being present guided meditation,https://www.youtube.com/watch?v=ZToicYcHIOU
194,3.0,4,2,5.0,1,Yoga for anxiety and stress,https://www.youtube.com/watch?v=bJJWArRfKa0
195,2.0,2,2,0.0,1,Breathing exercises for relaxation,https://www.youtube.com/watch?v=odADwWzHR24
196,1.0,5,2,5.0,1,Meditation for beginners,https://www.youtube.com/watch?v=U9YKY7fdwyg
197,0.0,0,2,0.0,1,Breathing exercises for anxiety,https://www.youtube.com/watch?v=odADwWzHR24
198,4.0,6,2,5.0,1,Guided imagery for relaxation,https://www.youtube.com/watch?v=6TywQETck8E
199,1.0,3,1,2.0,1,Progressive Muscle Relaxation,https://www.youtube.com/watch?v=ihO02wUzgkc
200,0.0,2,1,3.0,1,Mindfulness Meditation,https://www.youtube.com/watch?v=6p_yaNFSYao
201,3.0,0,1,5.0,1,Guided Imagery Meditation,https://www.youtube.com/watch?v=Tvs7JNV8NDA
202,2.0,3,1,2.0,1,Body Scan Meditation,https://www.youtube.com/watch?v=15q-N-_kkrU
203,1.0,1,1,5.0,1,Loving Kindness Meditation,https://www.youtube.com/watch?v=sDi40FQcaIU
204,0.0,5,1,2.0,1,Transformative Guided Gratitude Breath Meditation for Inner Peace and J,https://www.youtube.com/watch?v=oow-3i003Ms
205,4.0,6,1,5.0,1,Walking Meditation,https://www.youtube.com/watch?v=aCwEwz1xU2M
206,1.0,3,1,2.0,1,Progressive Muscle Relaxation,https://www.youtube.com/watch?v=Z95gPdFC7GM
207,0.0,5,1,2.0,1,Morning Meditation for Positivity,https://www.youtube.com/watch?v=G1z5P4zHTJM
208,4.0,6,1,5.0,1,Walking Meditation,https://www.youtube.com/watch?v=uzOh2ZZp3dg
209,3.0,2,2,2.0,1,Walking Meditation,https://www.youtube.com/watch?v=8PFKIu3pl0k
210,2.0,0,2,3.0,1,Body Scan Meditation,https://www.youtube.com/watch?v=15q-N-_kkrU
211,1.0,3,2,4.0,1,Loving-Kindness Meditation,https://www.youtube.com/watch?v=9C4RlCQ7ohs
212,0.0,1,2,5.0,1,Daily Calm 10 Minute Mindfulness Meditation,https://www.youtube.com/watch?v=ZToicYcHIOU
213,4.0,5,2,0.0,1,Progressive Muscle Relaxation,https://www.youtube.com/watch?v=D7QoBABZu8k
214,2.0,6,2,2.0,1,Self-Breathing Meditation,https://www.youtube.com/watch?v=enJyOTvEn4M
215,1.0,4,2,3.0,1,Breathing Exercises for Relaxation,https://www.youtube.com/shorts/03Q4mNDztt4
